Name,Date of Birth,Nationality,Role,Sex,Discipline 1,Discipline 2,Date of Infraction,Sanction,Ineligibility until,Period of Disqualification of results,Lifetime Ban?,Infraction Type,ADRV Rules,ADRV Notes,Description
 Ali DAWOUD SEDAM,,QAT,athlete,M,,Long Distance (3000m+),16/10/2016,4 years ineligibility,17/10/2020,4 years ineligibility,No,Doping,"Presence,Use",Norandrosterone,Possession (IAAF Rule 32.2.f)
 Vincenzo DEL PRETE,15/01/1979,ITA,athlete,M,,Long Distance (3000m+),06/07/2019,4 years ineligibility,12/09/2023,Since 06.07.19,No,Doping,"Presence,Use","Ephedrine, Oxilofrine, Betamethasone","In competition test, Memorial Andrea Ferone, Marcianise, ITA"
 Martina Anna DEL ROSSO,09/03/1972,ITA,athlete,F,,Long Distance (3000m+),23/10/2016,4 years ineligibility,22/10/2020,From 23.10.16,No,Doping,"Presence,Use",Meldonium,"In competition,in    Mezza Maratona del Fucino , Avezzano, ITA"
 Andrey DEMENTYEV,31/10/1995,RUS,athlete,M,,Middle Distance (800m-1500m),08/06/2019,4 years ineligibility,13/08/2023,Since 08.06.19,No,Doping,"Presence,Use","Exogenous Steroids after IRMS (Testosterone, Androsterone, 5bAdiol)","ICT, Siberian Federal Districtís tournament, Irkutsk, RUS"
 Medeni DEMIR,05/03/1990,TUR,athlete,M,,Long Distance (3000m+),19/04/2017,4 years ineligibility,07/05/2021,Since 19.04.17,No,Doping,"Evasion,Refusa l and or Failure to Submit","Evading, Refusing or Failing to Submit to Sample Collection",IAAF Rule 32.2.c  - Refusal
 Rik DEMUYNCK,24/12/1963,BEL,athlete,M,Shot Put,Throws,24/02/2016,4 years ineligibility,20/06/2020,Since 24.02.16,No,Doping,Possession,Possession of a Prohibited Substance or a Prohibited Method,IAAF Rule 32.2. (f) - Possession
 Suman DEVI,15/07/1985,IND,athlete,F,Javelin,Throws,26/06/2017,4 years ineligibility,08/08/2021,Since 26.06.17,No,Doping,"Presence,Use",Norandrosterone,"In competition test,  Selection trials for the 22nd Asian Athletics Championships , Patiala, IND"
 Gaetano DI FRANCO,10/12/1993,ITA,athlete,M,,Sprints (400m or less),02/07/2017,4 years ineligibility,10/10/2021,Since 02.07.17,No,Doping,"Presence,Use",Drostanolone,"In competition,    Campionato Italiano Individuali Assoluti su pista , Roma, ITA"
 Siyabonga DINGILA,20/07/1986,RSA,athlete,M,,Long Distance (3000m+),07/04/2019,16 months ineligibility,08/11/2020,Since 07.04.19,No,Doping,"Presence,Use",Betamethasone,"In competition test,  JointEze Irene Ultra Marathon 2019 , Centurion, RSA"
 Seref DIRLI,01/01/1992,TUR,athlete,M,1500m,Long Distance (3000m+),19/05/2015,8 years ineligibility,12/05/2025,Since 19.05.16,No,Doping,"Use,Evasion,R efusal and or Failure to Submit","Athlete Biological Passport
& Refusal",Athlete Biological Passport Case
 Seif Eddine DJARMOUNI,17/08/1994,ALG,athlete,M,,Long Distance (3000m+),14/02/2019,4 years ineligibility,19/03/2023,Since 14-02-19,No,Doping,"Presence,Use",Norandrosterone,"Out-of-competition test, S√©tif, ALG"
 Ruslan DMYTRENKO,22/03/1986,UKR,athlete,M,20km Walk,Long Distance (3000m+),14/08/2009,2 years ineligibility,07/05/2020,From 14/08/2009 to 03/08/2012,No,Doping,Use,Athlete Biological Passport Case,Athlete Biological Passport Case
 Jon DRUMMOND,09/09/1968,USA,athlete support personn el,M,,Athlete Support Personnel,,8 years ineligibility,16/12/2022,NA,No,Doping,"Possession,Tr afficking,Admi nistration","Possession of a Prohibited Substance or a Prohibited Method, Trafficking or Attempted Trafficking in any Prohibted Substance or Prohibited Method, Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method","IAAF Rule 32.2(f) Possession of a prohibited substance
IAAF Rule 32.2(g) Trafficking of a prohibited substance
IAAF Rule 32.2(h) Administration of a prohibited substance"
 Natalia DUCO,31/01/1989,CHI,athlete,F,Shot Put,Throws,19/04/2018,3 years ineligibility,18/04/2021,Since 19.04.18,No,Doping,"Presence,Use",GHRP-6,"Out-of-competition test, Santiago, CHI"
 Corina DUMBRAVEAN,15/04/1984,ROU,athlete,F,,,18/05/2010,Lifetime ban as from 03/06/2010,,Since 18.05.10,Yes,Doping,"Evasion,Refusa l and or Failure to Submit","Evading, Refusing or Failing to Submit to Sample Collection","Refusal to submit to doping control (IAAF Rule 32.2. c)
Tampering/attempted tampering with doping control (IAAF Rule 32.2.e)"
 Oznur DURSUN HATIPOGLU,,TUR,athlete support personn el,F,,Athlete Support Personnel,01/03/2014,Lifetime ban as from 26/03/2014,,NA,Yes,Doping,Administration,Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method,IAAF Rule 32.2.h- Administration of a prohibited substance
 Hakan DUVAR,20/04/1990,TUR,athlete,M,3000m SC,Long Distance (3000m+),11/08/2014,4 years ineligibility,25/12/2020,Since 11.08.14,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Maksim DYLDIN,15/05/1987,RUS,athlete,M,,Sprints (400m or less),22/05/2015,4 years ineligibility,05/01/2021,"From 05.08.12 to
06.01.17",No,Doping,"Presence,Use, Evasion,Refusa l and or Failure to Submit","Evading, Refusing or Failing to Submit to Sample Collection, Dehydrochlormethyltestost erone","In competition test, in  XXX Olympic Games , London, GBR IAAF Rule 32.2(c) Evading, Refusing or Failing to submit to Sample collection"
 Mustapha EL AZIZ,24/12/1985,MAR,athlete,M,,Long Distance (3000m+),07/06/2019,4 years ineligibility,01/07/2023,Since 07.06.19,No,Doping,"Presence,Use",EPO,"In competition tests, Karlovac 10K, Karlovac, CRO & Corrida de Langueux, Langueux, FRA"
 Mohamad EL GARNI,02/07/1992,QAT,athlete,M,,,15/06/2016,4 years ineligibility,03/07/2020,Since 15.06.16,No,Doping,"Evasion,Refusa l and or Failure to Submit","Evading, Refusing or Failing to Submit to Sample Collection","IAAF Rule 32.2. (c)  - Refusal to submit to a doping control, Ifrane, MAR"
 Mohamed EL HACHIMI,05/09/1980,MAR,athlete,M,Cross Country,Long Distance (3000m+),19/01/2014,6 years ineligibility,19/02/2021,Since 19.01.14,No,Doping,"Presence,Use",CERA,"In competition test, 33e Cross Ouest France Pays de la Loire , Le Mans,FRA"
 Abdelmajid EL HISSOUF,23/09/1992,MAR,athlete,M,,Long Distance (3000m+),01/05/2014,4 years ineligibility,07/11/2020,From 23.05.14,No,Doping,Use,Athlete Biological Passport,IAAF rule 32.2.b  - Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method
 Badr EL JALAOUI,28/01/1993,MAR,athlete,M,,Middle Distance (800m-1500m),12/06/2019,4 years ineligibility,25/07/2023,Since 12.06.19,No,Doping,"Presence,Use",Trenbolone,"Out-of-competition test, Rabat, MAR"
 Amine EL MANAOUI,20/11/1991,MAR,athlete,M,,Middle Distance (800m-1500m),11/06/2016,4 years ineligibility,10/06/2020,From 11.06.16,No,Doping,"Presence,Use",EPO,"Out competition, in Teramo, ITA"
 Mounir EL OUARDI,29/05/1974,MAR,athlete,M,,Long Distance (3000m+),04/11/2018,4 years ineligibility,20/03/2023,Since 04.11.18,No,Doping,"Presence,Use",Stanozolol,"ICT, ìXXXV Media Marathonî, Motril, ESP"
 Eid Moustafa Mohammed EL SAYED,09/04/1991,EGY,athlete,M,Pole Vault,Jumps,15/03/2017,4 years ineligibility,21/05/2021,15.03.17,No,Doping,"Presence,Use",Stanozolol,"In competition test,    Senior National Competition Cairo, EGY"
 Mahmoud ELHAMRI,13/04/1991,MAR,athlete,M,,Middle Distance (800m-1500m),05/05/2019,4 years ineligibility,08/06/2023,Since 05.05.19,No,Doping,"Presence,Use",EPO,"Championnat de France interclubs, Libourne FRA"
 Stanislav EMELYANOV,23/10/1990,RUS,athlete,M,20km Walk,Long Distance (3000m+),11/10/2015,Lifetime ban as from 15.12.17 (3rd ADRV),,-,Yes,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Igor EROKHIN,04/09/1986,RUS,athlete,M,50km Walk,Long Distance (3000m+),25/02/2011,Lifetime ban as from 25/02/2011,,,Yes,Doping,Use,Athlete Biological Passport,(IAAF Rule 32.2.b)  - Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method
 Senem ESER,13/05/1984,TUR,athlete,F,3000m SC,Long Distance (3000m+),02/07/2015,3 years and 6 months ineligibility,23/06/2020,Since 02.07.15,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Sevinc ESMER,,TUR,athlete support personn el,F,,Athlete Support Personnel,01/11/2014,Lifetime ban as from 27/11/2014,,NA,Yes,Doping,Administration,Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method,IAAF Rule 32.2.h- Administration of a prohibited substance
 Natalya EVDOKIMOVA,17/03/1978,RUS,athlete,F,,Middle Distance (800m-1500m),17/08/2009,4 years ineligibility,13/04/2020,17.08.09-29.05.12,No,Doping,Use,Athlete Biological Passport,IAAF rule 32.2.b - Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method
 Abdelhadi FALIL,01/01/1976,MAR,athlete,M,,Long Distance (3000m+),01/04/2011,4 years ineligibility,05/06/2020,From 09.04.11,No,Doping,Use,Athlete Biological Passport,IAAF rule 32.2.b  - Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method
 Antonio FARINA,18/07/1987,ITA,athlete,M,,Long Distance (3000m+),09/10/2017,4 years ineligibility,11/10/2021,Since 10.09.17,No,Doping,"Presence,Use",Cocaine,"In competition test, 'IX Edizione Corri Marcianise', Marcianise, ITA"
 Robert FAZEKAS,18/08/1975,HUN,athlete,M,Discus,Throws,16/06/2012,8 years ineligibility,05/07/2020,Since 16.06.12,No,Doping,"Presence,Use",Stanozolol,Out of competition test
 Lyudmila FEDORIVA,23/11/1958,RUS,athlete support personn el,F,,Athlete Support Personnel,07/05/2015,4 years ineligibility,04/12/2020,NA,No,Doping,Tampering,,"In competition test, In competition test  öOutdoor Season Opening meeting, RUS"
 Nicolas FERNANDEZ,25/04/1986,FRA,athlete,F,Cross Country,Long Distance (3000m+),04/12/2016,4 years ineligibility,08/02/2021,Since 4.12.16,No,Doping,"Presence,Use",EPO,"In competition test Cross de la Cite de Carcassonne , Carcassonne, FRA"
 Elisabetta FERRERO,20/01/1973,ITA,athlete,F,,Long Distance (3000m+),06/10/2018,1 years ineligibility,24/02/2020,Since 06.10.18,No,Doping,Tampering,Tampering with doping control,
 Abdelhadi FETTAH,20/04/1974,FRA,athlete,M,,Long Distance (3000m+),05/03/2017,5 years ineligibility,05/04/2021,Since 05.03.17,No,Doping,"Presence,Use",dEPO,"In competition test, Ostend-Bruges 10 miles, Belgium"
 Tatyana FIROVA,,RUS,athlete,F,,Sprints (400m or less),,4 years ineligibility,08/06/2020,20.08.08 - 31.12.12,No,Doping,"Presence,Use",Dehydrochlormethyltestost erone; Use,"(Retesting) In competition test, Olympic Games in Beijing, CHN; McLaren evidence"
 Alina FODOROVA,31/07/1989,UKR,athlete,F,,Combined Events,27/07/2016,4 years ineligibility,15/06/2020,Since 27.07.16,No,Doping,"Presence,Use",Exogenous Steroids (after IRMS),"Out-of-competition test, Brovary, UKR"
  Yevgeniya FONDYUSHINA,27/08/1995,KAZ,athlete,F,,Middle Distance (800m-1500m),30/06/2018,2 years ineligibility,22/07/2020,Since 30.06.18,No,Doping,"Presence,Use",Sibutramine,"In competition test,  XXVIII G.Kosanov Memorial , Almaty, KAZ"
 David FREAKE,25/05/1986,CAN,athlete,M,Marathon,Long Distance (3000m+),26/05/2019,4 years ineligibility,10/10/2023,Since 26.05.19,No,Doping,"Presence,Use","Dinitrophenol, EPO, GW1516 and Ephedrine","In competition test, ScotiaBank Ottawa Marathon, Ottawa, CAN"
 Vera GANEEVA,,RUS,athlete,F,Discus,Throws,,2 years ineligibility,01/07/2020,"From 02.07.18 to
31.01.19",No,Doping,Use,Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method,McLaren evidence
 Andrey GAPON,24/10/1997,RUS,athlete,M,100m Hurdles,Sprints (400m or less),25/11/2017,4 years ineligibility,19/02/2022,Since 25-11-17,No,Doping,"Evasion,Refusa l and or Failure to Submit",Refusal,"Art. 2.3 ADR - Evading, Refusing or Failing to Submit to Sample Collection"
 Javier GARCIA MASCARELL,16/05/1975,ESP,athlete,M,,Long Distance (3000m+),11/11/2018,4 years ineligibility,18/06/2023,Since 11-11-18,No,Doping,"Presence,Use",Meldonium,"In competition test, 'Behobia- Donastia', San Sebastian, ESP"
 Valentina GEMETTO,04/02/1998,ITA,athlete,F,1500m,Middle Distance (800m-1500m),20/01/2019,2 years ineligibility,14/04/2021,Since 20.01.19,No,Doping,"Presence,Use",Benzoylecgonine,"ICT, ìXXI Cross Citt‡ di Novi Ligureî, Novi Ligure, ITA"
 Nour-Eddine GEZZAR,07/02/1980,FRA,athlete,M,Road Running,Long Distance (3000m+),17/06/2012,10 years ineligibility (2nd ADRV),12/07/2022,Since 17-06-12,No,Doping,"Presence,Use",EPO,"Championnat de France Elite d Athl‚àö¬©tisme,"
 Joseph Kariuki GITAU,01/10/1986,KEN,athlete,M,,Long Distance (3000m+),08/01/2017,4 years ineligibility,07/01/2021,08.01.17,No,Doping,"Presence,Use",Norandrosterone,"In competition, in    Yoma Yangon International Marathon, Yangon, MYA"
 Alex GOCHENOUR,17/02/1993,USA,athlete,F,,Combined Events,24/06/2018,4 years ineligibility,11/07/2022,Since 24.06.18,No,Doping,"Presence,Use",Ostarine,"In competition test, USA track and field Championships, Des Moines, USA"
 Marianna GONCHAROVA,12/11/1986,UKR,athlete,F,,Long Distance (3000m+),23/03/2019,4 years ineligibility,15/07/2023,Since 23.03.19,No,Doping,"Presence,Use",Meldonium,"Out-of-competition test, Ivano- Frankivsk, UKR"
 Adrian GRIFFITH,11/11/1984,BAH,athlete,M,,Sprints (400m or less),22/04/2017,4 years ineligibility,11/07/2021,Since 22.04.17,No,Doping,"Presence,Use",Stanozolol,"In competition test, IAAF World Relays , Nassau, BAH"
 Vladislav GRINCHUK,28/01/1993,RUS,athlete,M,Decathlon,Combined Events,14/02/2018,4 years ineligibility,05/04/2022,Since 14.02.18,No,Doping,"Presence,Use",Dehydrochlormethyltestost erone,"In competition test, Indoor Russian Championships , Smolensk, RUS"
 GUERZIZ Abdelaziz,07/04/1987,ALG,athlete,M,,Long Distance (3000m+),06/02/2018,4 years ineligibility,07/05/2022,Since 06/02/18,No,Doping,"Presence,Use",Stanozolol,"Out of competition, Chlef, ALG"
 Vedat GUNEN,15/08/1989,TUR,athlete,M,,Long Distance (3000m+),02/12/2012,4 years ineligibility,21/09/2021,Since 08.12.12,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Zhongze GUO,07/08/1996,CHN,athlete,M,400m,Sprints (400m or less),01/11/2018,1 year ineligibility,15/03/2020,Since 01.11.18,No,Doping,"Evasion,Refusa l and or Failure to Submit",Failure to Submit to doping control,
 Yuliya GUSHCHINA,04/03/1983,RUS,athlete,F,,Sprints (400m or less),01/09/2011,4 years ineligibility,27/03/2021,"From 01.09.11 to
31.12.14",No,Doping,"Presence,Use","Dehydrochlormethyltestost erone, Stanozolol","(Retesting) In competition tests, ë13th IAAF World Championships in Athleticsí, Daegu, KOR & ëXXX Olympic Gamesí, London, GBR"
 Josue Mauricio GUTIERREZ POZO,13/09/1998,PER,athlete,M,Pole Vault,Jumps,10/08/2018,2 years ineligibility,09/08/2020,Since 10.08.18,No,Doping,"Presence,Use",Carboxy-THC,"In competition test,  GP Pedro Galvez Velarde , Lima, PER"
 Amandine GUYOT,30/03/1990,FRA,athlete,F,,Middle Distance (800m-1500m),26/06/2016,4 years ineligibility,07/10/2020,Since 26.06.16,No,Doping,"Presence,Use","Nandrolone, Boldenone & Trenbolone","In competition test,  La Transbaie , Saint-Valery-sur-Somme, FRA"
 Milan HABORAK,11/01/1973,SVK,athlete,M,Shot Put,Throws,21/06/2010,Lifetime ban as from 21/06/2010,,Since 21.06.10,Yes,Doping,"Presence,Use",Stanozolol,Out of competition test
 Mousaab HADOUT,11/03/1988,MAR,athlete,M,Marathon,Long Distance (3000m+),05/11/2017,4 years ineligibility,28/06/2022,Since 05.11.17,No,Doping,"Presence,Use",EPO,"In competition test,  Hangzhou International Marathon , Hangzhou, CHN"
 Domen HAFNER,11/08/1993,SVK,athlete,M,,Long Distance (3000m+),25/01/2018,4 years ineligibility,28/01/2022,Since 29.01.18,No,Doping,"Presence,Use",EPO,"Out-of-competition test, Skofja Loka, SLO"
 Shunyuan HAN,19/03/1994,CHN,athlete,M,,Long Distance (3000m+),27/11/2016,4 years ineligibility,05/02/2021,From 27.11.16,No,Doping,"Presence,Use",EPO,"In competition test, in CHN"
 Dmytro HARNYK,25/07/1998,UKR,athlete,M,Race Walk,Long Distance (3000m+),14/02/2017,4 years ineligibility,10/04/2021,Since 14.02.17,No,Doping,"Presence,Use",Oxandrolone,"In competition, National U20 Indoor Championships, Summy, UKR"
  Abdelmounaim HARROUFI,26/04/1978,MAR,athlete,M,Half Marathon,Long Distance (3000m+),01/05/2015,4 years ineligibility,21/11/2021,Since 01.05.15,No,Doping,"Use,Possessio n",Use & Possession,"IAAF rule 32.2.b - Use; IAAF Rule
32.2.f - Possession"
 Ertan HATIPOGLU,,TUR,athlete support personn el,M,,Athlete Support Personnel,01/11/2014,Lifetime ban from 24/05/2014,,NA,Yes,Doping,"Trafficking,Ad ministration","Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method
/Trafficking or Attempted Trafficking in any Prohibited Substance or Prohibited Method",IAAF Rule 32.2.f - Possession Administration of a prohibited substance (IAAF Rule 32.2.h) Trafficking (IAAF Rule 32.2.g)
 Mohamed HATTOUCHI,15/07/1985,MAR,athlete,M,Cross Country,Long Distance (3000m+),14/02/2016,4 years ineligibility,23/03/2020,Since 14.02.16,No,Doping,"Presence,Use",CERA,"In competition test, Demi-finale des Championnats de France de Cross , Chamarande, FRA"
 Yuliia HAVRYLIUK,25/06/1997,UKR,athlete,F,,Sprints (400m or less),07/07/2018,4 years ineligibility,05/10/2022,Since 07-07-18,No,Doping,"Presence,Use",Stanozolol,"In competition test,  Ukrainian U23 Athletics Championships , Bakhmut, UKR"
 Anca HELTNE,01/10/1978,ROU,athlete,F,Shot Put,Throws,07/02/2014,8 years ineligibility (2nd ADRV),10/03/2022,07/02/2014,No,Doping,"Presence,Use",Methandienone and Dehydrochloromathyltestost erone,"Out-of-competition test, Limassol, CYP"
 Yanmin HOU,25/04/1985,CHN,athlete,M,,Long Distance (3000m+),19/11/2017,4 years ineligibility,17/12/2021,Since 19.11.17,No,Doping,"Presence,Use",EPO,"In competition test,  Guilin International Marathon , Guilin, CHN"
 Jiarui HUANG,,CHN,athlete,F,,Sprints (400m or less),,4 years ineligibility,29/09/2022,Since 23.08.18,No,Doping,"Presence,Use",Metandienone,"In competition test, '13th Games of Liao Ning', Liao Ning, CHN"
 Juan Carlos HUIZA,25/07/1996,BOL,athlete,M,,Long Distance (3000m+),09/09/2018,2 years ineligibility,08/09/2020,Since 09.09.18,No,Doping,"Presence,Use",Benzoylecgonine,"In competition test, 10K Evo Morales, Cochabamba, BOL"
 Kirill IKONNIKOV,05/03/1984,RUS,athlete,M,Hammer,Throws,05/08/2015,8 years ineligibility (2nd ADRV),03/04/2024,"From 05.08.12 to
08.10.12 and since
26.02.16",No,Doping,"Presence,Use",Dehydrochlormethyltestost erone,"In competition test, in    XXX Olympic Games , in London, GBR Out competition, in St Petersburg, RUS"
 Oleg ILYIN,01/03/1989,RUS,athlete,M,,Long Distance (3000m+),10/07/2019,4 years ineligibility,25/07/2023,Since 10.07.19,No,Doping,"Presence,Use",EPO,"In competition test, All-Russian cross- country competition of the Dynamo Society, Perm, RUS"
 Anton IVAKIN,03/02/1991,RUS,athlete,M,Pole Vault,Jumps,31/08/2019,4 years ineligibility,22/09/2023,Since 31.08.19,No,Doping,"Evasion,Refusa l and or Failure to Submit",Refusal,"Out-of-competition test, Moscow, RUS"
 Sanjivani JADHAV,17/07/1996,IND,athlete,F,,Long Distance (3000m+),27/05/2018,2 years ineligibility,28/06/2020,Since 27.05.18,No,Doping,"Presence,Use",Probenecid,"In competition test,   TCS World 10K , Bangalore, IND"
 Lydia JELE,22/06/1990,BOT,athlete,F,400m,Sprints (400m or less),14/10/2017,4 years ineligibility,13/10/2021,Since 14/10/2017,No,Doping,"Presence,Use",Metandienone,"Out-of-competition test,Gaborone, BOT"
 Violah JEPCHUMBA,23/10/1990,BRN,athlete,F,,Long Distance (3000m+),27/08/2017,4 years ineligibility,29/09/2021,Since 27.08.17,No,Doping,"Presence,Use",EPO,"Out-of-competition test, Mosoriot, KEN"
 Naum JEPKORIR,09/02/1984,KEN,athlete,F,,Long Distance (3000m+),14/10/2018,4 years ineligibility,29/01/2023,Since 14.10.18,No,Doping,"Presence,Use",Norandrosterone,"In competition test, Guang an marathon, Guang an, CHN"
 Naomi JEPNGETICH,30/04/1980,KEN,athlete,F,,Long Distance (3000m+),23/09/2018,4 years ineligibility,01/10/2023,Since 23.09.18,No,Doping,"Presence,Use","Exogenous Steroids after IRMS (Testosterone, Androsterone & Etiocholanolone)","In competition test, Mombasa International Marathon, Mombasa, KEN"
